,Country,Top_Genre,Top_Anime,Avg_Age,User_Num,Male_Ratio,Female_Ratio,Top_Anime_Male,Top_Anime_Female,Image_URL_Male,Image_URL_Female
116,Trinidad and Tobago,"Action, Adventure, Fantasy",Code Geass: Hangyaku no Lelouch,1991.5753205128206,12,0.82,0.18,Fate/stay night,Code Geass: Hangyaku no Lelouch,https://cdn.myanimelist.net/images/anime/4/30327.jpg,https://cdn.myanimelist.net/images/anime/1032/135088.jpg
117,Tunisia,"Action, Adventure, Fantasy",Death Note,1988.6298296634816,25,0.6,0.4,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
118,Turkey,"Action, Adventure, Fantasy",Death Note,1990.9642765166845,219,0.65,0.35,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
119,Ukraine,Comedy,Death Note,1990.0268870523416,269,0.73,0.27,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
120,United Arab Emirates,"Action, Adventure, Fantasy",Code Geass: Hangyaku no Lelouch,1989.6271289537713,12,0.52,0.48,Code Geass: Hangyaku no Lelouch,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,https://cdn.myanimelist.net/images/anime/1032/135088.jpg,https://cdn.myanimelist.net/images/anime/5/79697.jpg
121,United Kingdom,"Action, Adventure, Fantasy",Death Note,1990.1529026605801,2380,0.73,0.26,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
122,United States of America,"Action, Adventure, Fantasy",Death Note,1988.6137202762902,11262,0.74,0.26,Death Note,Ouran Koukou Host Club,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/2/71992.jpg
123,Uruguay,Comedy,Death Note,1990.437118618842,34,0.76,0.24,Death Note,Byousoku 5 Centimeter,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/1410/112994.jpg
124,Uzbekistan,"Action, Adventure, Horror, Sci-Fi, Supernatural",Air,1988.0,1,1.0,0.0,Air,,https://cdn.myanimelist.net/images/anime/8/22059.jpg,
125,Venezuela,"Action, Adventure, Fantasy",Death Note,1990.620047629357,89,0.58,0.42,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
126,Vietnam,"Comedy, Romance",Bakemonogatari,1989.33571026459,39,0.7,0.3,Bakemonogatari,Durarara!!,https://cdn.myanimelist.net/images/anime/11/75274.jpg,https://cdn.myanimelist.net/images/anime/10/71772.jpg
127,Yemen,"Action, Adventure, Fantasy",Naruto,1994.3754045307444,6,0.96,0.04,Naruto,I My Me! Strawberry Eggs,https://cdn.myanimelist.net/images/anime/13/17405.jpg,https://cdn.myanimelist.net/images/anime/1414/93964.jpg
128,Zimbabwe,Sports,Angel Beats!,1992.0,1,0.0,1.0,,Angel Beats!,,https://cdn.myanimelist.net/images/anime/1244/111115.jpg
